Date,Banana Price per Pound,Percent Change
1/1/2016,$0.581,-0.30%
2/1/2016,$0.573,-3.00%
3/1/2016,$0.586,-1.20%
4/1/2016,$0.574,-3.90%
5/1/2016,$0.570,-2.10%
6/1/2016,$0.569,-0.90%
7/1/2016,$0.567,-2.40%
8/1/2016,$0.562,-3.10%
9/1/2016,$0.575,-0.90%
10/1/2016,$0.570,-1.20%
11/1/2016,$0.573,-0.30%
12/1/2016,$0.576,-0.70%
1/1/2017,$0.573,-1.40%
2/1/2017,$0.573,0.00%
3/1/2017,$0.571,-2.60%
4/1/2017,$0.571,-0.50%
5/1/2017,$0.564,-1.10%
6/1/2017,$0.572,0.50%
7/1/2017,$0.565,-0.40%
8/1/2017,$0.561,-0.20%
9/1/2017,$0.544,-5.40%
10/1/2017,$0.548,-3.90%
11/1/2017,$0.551,-3.80%
12/1/2017,$0.558,-3.10%
1/1/2018,$0.568,-0.90%
2/1/2018,$0.574,0.20%
3/1/2018,$0.582,1.90%
4/1/2018,$0.578,1.20%
5/1/2018,$0.575,2.00%
6/1/2018,$0.575,0.50%
7/1/2018,$0.575,1.80%
8/1/2018,$0.569,1.40%
9/1/2018,$0.573,5.30%
10/1/2018,$0.574,4.70%
11/1/2018,$0.566,2.70%
12/1/2018,$0.577,3.40%
1/1/2019,$0.576,1.40%
2/1/2019,$0.571,-0.50%
3/1/2019,$0.581,-0.20%
4/1/2019,$0.567,-1.90%
5/1/2019,$0.579,0.70%
6/1/2019,$0.574,-0.20%
7/1/2019,$0.569,-1.00%
8/1/2019,$0.578,1.60%
9/1/2019,$0.569,-0.70%
10/1/2019,$0.573,-0.20%
11/1/2019,$0.573,1.20%
12/1/2019,$0.573,-0.70%
1/1/2020,$0.570,-1.00%
2/1/2020,$0.574,0.50%
3/1/2020,$0.576,-0.90%
4/1/2020,$0.581,2.50%
5/1/2020,$0.589,1.70%
6/1/2020,$0.588,2.40%
7/1/2020,$0.580,1.90%
