Date,Rate Per Mile,Gasoline - All Grades,Avo Average Price
2015-05-11,2.663333333333333,2.7760000000000002,1.02
2015-05-18,2.672222222222222,2.827,1.06
2015-05-25,2.661111111111111,2.8569999999999998,1.04
2015-06-01,2.731111111111111,2.863,1.03
2015-06-08,2.7411111111111115,2.863,1.0
2015-06-15,2.782222222222222,2.918,0.98
2015-06-22,2.89,2.895,1.02
2015-06-29,2.843333333333334,2.885,1.06
2015-07-06,2.847777777777778,2.877,1.04
2015-07-13,2.807777777777778,2.92,1.07
2015-07-20,2.755555555555556,2.888,1.07
2015-07-27,2.77,2.833,1.07
2015-08-03,2.67,2.779,1.09
2015-08-10,2.6411111111111114,2.72,1.05
2015-08-17,2.6422222222222222,2.803,1.05
2015-08-24,2.561111111111111,2.7260000000000004,1.08
2015-08-31,2.576666666666666,2.602,1.07
2015-09-07,2.576666666666666,2.532,1.02
2015-09-14,2.535555555555556,2.471,1.03
2016-05-09,2.442222222222222,2.325,0.82
2016-05-16,2.464444444444444,2.345,0.89
2016-05-23,2.4944444444444445,2.403,0.93
2016-05-30,2.562222222222222,2.44,0.94
2016-06-06,2.612222222222222,2.4819999999999998,0.97
2016-06-13,2.626666666666667,2.499,1.04
2016-06-20,2.6100000000000003,2.455,1.02
2016-06-27,2.64,2.432,1.04
2016-07-04,2.64,2.396,1.06
2016-07-11,2.57,2.359,1.1
2016-07-18,2.5628571428571427,2.336,1.15
2016-07-25,2.4457142857142857,2.289,1.2
2016-08-01,2.4571428571428577,2.267,1.23
2016-08-15,2.3957142857142855,2.256,1.12
2016-08-22,2.38,2.299,1.1
2016-08-29,2.3714285714285714,2.3409999999999997,1.09
2016-09-05,2.3842857142857143,2.329,1.04
2016-09-12,2.3842857142857143,2.31,1.08
2016-09-19,2.3842857142857143,2.333,1.15
2016-09-26,2.3957142857142855,2.334,1.22
2016-10-03,2.3957142857142855,2.354,1.23
2016-10-10,2.3957142857142855,2.381,1.27
2016-10-17,2.298571428571428,2.367,1.3
2017-02-20,2.1542857142857144,2.414,0.99
2017-02-27,2.1442857142857146,2.427,0.99
2017-03-06,2.1714285714285717,2.452,1.13
2017-03-13,2.1714285714285713,2.434,1.22
2017-03-20,2.1714285714285713,2.4330000000000003,1.25
2017-03-27,2.2142857142857144,2.428,1.24
2017-04-03,2.2385714285714284,2.471,1.21
2017-04-10,2.2914285714285714,2.5340000000000003,1.21
2017-04-17,2.4285714285714284,2.546,1.23
2017-04-24,2.3900000000000006,2.559,1.18
2017-05-01,2.4442857142857144,2.522,1.18
2017-05-08,2.4771428571428573,2.484,1.09
2017-05-15,2.472857142857143,2.481,1.19
2017-05-22,2.7014285714285715,2.51,1.26
2017-05-29,2.782857142857143,2.516,1.28
2017-06-05,2.802857142857143,2.525,1.24
2017-06-12,2.802857142857143,2.479,1.21
2017-06-19,2.8028571428571425,2.4330000000000003,1.18
2017-06-26,2.755714285714286,2.404,1.17
2017-07-10,2.7414285714285715,2.411,1.17
2017-07-17,2.7414285714285715,2.392,1.33
2017-07-24,2.538571428571428,2.426,1.31
2017-07-31,2.544285714285714,2.467,1.32
