Date,Week,Month,Quarter,Year,Region,Origin,Destination,Distance,Commodity,Week Low,Week High,Midpoint,Rate Per Mile,Availability
12/30/2003,52,12,4,2003,California,South District California,NEW YORK,2700,AVOCADOES,3900,4100,4000,1.48,5
01/06/2004,1,1,1,2004,California,South District California,NEW YORK,2700,AVOCADOES,3800,4000,3900,1.44,3
01/13/2004,2,1,1,2004,California,South District California,NEW YORK,2700,AVOCADOES,3700,4000,3850,1.43,3
01/20/2004,3,1,1,2004,California,South District California,NEW YORK,2700,AVOCADOES,3800,3900,3850,1.43,3
01/27/2004,4,1,1,2004,California,South District California,NEW YORK,2700,AVOCADOES,3600,3700,3650,1.35,3
02/10/2004,6,2,1,2004,California,South District California,NEW YORK,2700,AVOCADO,3200,3500,3350,1.24,3
02/17/2004,7,2,1,2004,California,South District California,NEW YORK,2700,AVOCADO,3200,3500,3350,1.24,3
02/24/2004,8,2,1,2004,California,South District California,NEW YORK,2700,AVOCADO,3200,3500,3350,1.24,3
03/02/2004,9,2,1,2004,California,South District California,NEW YORK,2700,AVOCADO,3200,3500,3350,1.24,3
03/09/2004,10,3,1,2004,California,South District California,NEW YORK,2700,AVOCADO,3200,3500,3350,1.24,3
03/16/2004,11,3,1,2004,California,South District California,NEW YORK,2700,AVOCADO,3200,3800,3450,1.28,3
03/23/2004,12,3,1,2004,California,South District California,NEW YORK,2700,AVOCADO,3200,3800,3525,1.31,3
03/30/2004,13,3,1,2004,California,South District California,NEW YORK,2700,AVOCADO,3400,4100,3825,1.42,3
04/06/2004,14,4,2,2004,California,South District California,NEW YORK,2700,AVOCADO,3400,4100,3825,1.42,3
04/13/2004,15,4,2,2004,California,South District California,NEW YORK,2700,AVOCADO,3400,4100,3850,1.43,3
04/20/2004,16,4,2,2004,California,South District California,NEW YORK,2700,AVOCADO,3400,4100,3850,1.43,3
04/27/2004,17,4,2,2004,California,South District California,NEW YORK,2700,AVOCADO,3400,4180,3900,1.44,3
05/04/2004,18,5,2,2004,California,South District California,NEW YORK,2700,AVOCADO,3400,4180,3900,1.44,3
05/11/2004,19,5,2,2004,California,South District California,NEW YORK,2700,AVOCADOS,3700,4400,4050,1.50,3
05/18/2004,20,5,2,2004,California,South District California,NEW YORK,2700,AVOCADOS,3700,4400,4050,1.50,3
05/25/2004,21,5,2,2004,California,South District California,NEW YORK,2700,AVOCADOS,3700,4400,4050,1.50,3
06/01/2004,22,5,2,2004,California,South District California,NEW YORK,2700,AVOCADOS,4800,5400,5100,1.89,3
06/08/2004,23,6,2,2004,California,South District California,NEW YORK,2700,AVOCADOS,4800,5400,5100,1.89,3
06/15/2004,24,6,2,2004,California,South District California,NEW YORK,2700,AVOCADOS,4800,5400,5100,1.89,3
06/22/2004,25,6,2,2004,California,South District California,NEW YORK,2700,AVOCADOS,4800,5400,5100,1.89,3
07/20/2004,29,7,3,2004,California,South District California,NEW YORK,2700,AVOCADOS,5300,5800,5550,2.06,5
07/27/2004,30,7,3,2004,California,South District California,NEW YORK,2700,AVOCADOS,5200,5700,5450,2.02,3
08/03/2004,31,7,3,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",5000,5600,5100,1.89,3
08/10/2004,32,8,3,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4700,5200,4700,1.74,3
08/17/2004,33,8,3,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4700,5200,4700,1.74,3
08/24/2004,34,8,3,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4500,4700,4550,1.69,3
08/31/2004,35,8,3,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4500,4700,4600,1.70,3
09/07/2004,36,9,3,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4500,4700,4600,1.70,4
09/14/2004,37,9,3,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4500,4600,4550,1.69,3
09/21/2004,38,9,3,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4800,5000,4900,1.81,3
09/28/2004,39,9,3,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4500,4800,4750,1.76,3
10/05/2004,40,10,4,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4500,4800,4750,1.76,3
10/12/2004,41,10,4,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4500,4700,4700,1.74,4
10/19/2004,42,10,4,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4600,4800,4700,1.74,3
10/26/2004,43,10,4,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4600,4800,4700,1.74,3
11/02/2004,44,10,4,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4600,4800,4700,1.74,3
11/09/2004,45,11,4,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",4600,4900,4750,1.76,4
11/16/2004,46,11,4,2004,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND TOMATOES",5600,6200,5900,2.19,5
01/18/2005,3,1,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",4300,4500,4400,1.63,3
01/25/2005,4,1,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",4100,4400,4250,1.57,3
02/01/2005,5,1,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",3900,4200,4150,1.54,2
02/08/2005,6,2,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",3800,4200,4150,1.54,2
02/15/2005,7,2,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",3700,4000,3850,1.43,2
02/22/2005,8,2,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",3700,3900,3800,1.41,2
03/01/2005,9,2,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",3700,3900,3800,1.41,3
03/08/2005,10,3,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",3800,4100,3950,1.46,3
03/15/2005,11,3,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",4200,4700,4450,1.65,4
03/22/2005,12,3,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",4800,5200,5000,1.85,4
03/29/2005,13,3,1,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",4800,5200,5000,1.85,3
04/05/2005,14,4,2,2005,California,South District California,NEW YORK,2700,"AVOCADOS, CITRUS AND STRAWBERRIES",4800,5200,5000,1.85,3
